JDR/ORS	Contractual Code	LautecActivity Group	Lautec Work_Activity (Corresponding)	LautecActivity Group	JDR Work_Activity	Contractual Code	Generic Comments to be added
JDR	EWT	Re-Work	Fibre Optic	Re-Work	Re-Work	EWT	Fibre Optic
JDR	EWT	Re-Work	General husbandry	Re-Work	Re-Work	EWT	General husbandry
JDR	EWT	Re-Work	Post-Termination Testing	Re-Work	Re-Work	EWT	Post-Termination Testing
JDR	EWT	Re-Work	Resonance Testing	Re-Work	Re-Work	EWT	Resonance Testing
JDR	EWT	Re-Work	Variation	Re-Work	Re-Work	EWT	Variation
JDR	EWT	Re-Work	Demobilisation	Re-Work	Re-Work	EWT	Demobilisation
ORS	NWT	Extra Work	Mobilisation	Extra Work	Additional Mobilization Setup	NWT	- Additional mobilization of asset - contractor unable to finalize location on previous visit, due to factors outside their control
ORS	NWT	Extra Work	Electrical - Termination	Extra Work	Additional 8VM1 Works	NWT	- Additional open or close of seal bags not connected as part of T&T scope of work
ORS	NWT	Extra Work	Electrical - Termination	Extra Work	Additional 8VM1 Works	NWT	- Reconfigure GIS Gland Plates
ORS	NWT	Extra Work	General husbandry	Extra Work	Interruption for Weather	NWT	-Housekeeping before/after a period of weather downtime
ORS	NWT	Extra Work	Demobilisation	Extra Work	Additional Demobilization Setup	NWT	- Additional de-mobilization of asset - contractor unable to finalize location on previous visit, due to factors outside their control
ORS	NWT (VO)	Extra Work	ORS TBC	Extra Work	CMS Removal, Storage & Reinstallation (VO)	NWT (VO)	- Removal and Storage of CMS
ORS	NWT (VO)	Extra Work	ORS TBC	Extra Work	CMS Removal, Storage & Reinstallation (VO)	NWT (VO)	- Reinstallation of CMS
ORS	NWT (VO)	Extra Work	ORS TBC	Extra Work	CMS MBR Rectification Works (VO)	NWT (VO)	- Rectify pre-installed CMS MBR issues
ORS	NWT (VO)	Extra Work	ORS TBC	Extra Work	PT100 Sensor Installation (VO)	NWT (VO)	- Installation of PT100 Sensors
